name,fans,fave,tags,vote
1026027-Once+I+was-ruby-red-displicent-dress,18061,54 favorites,"['Chic', 'Art Opening', 'spring']",357 votes
1123526-Mermaid-sky-blue-chace-the-label-dress-black-daniel-wellington-watch,16077,69 favorites,"['Classic', 'Photo Shoot', 'Summer']",354 votes
1005788-Bitter+Sweet+Symphony-navy-laf%C3%AA-dress,18061,83 favorites,"['Chic', 'Casual Party', 'fall']",409 votes
1092229-My+Way-red-mondabelle-dress,18061,60 favorites,"['Chic', 'Casual Party', 'summer']",390 votes
1033163-On+the+Dot+for+Summer-blue-yoana-baraschi-dress,57,38 favorites,"['Romantic', 'Going Out With Friends', 'summer']",320 votes
972280-isabel+marant+pour+hm-silk-h-m-dress,512,67 favorites,"['Romantic', 'Art Opening', 'Summer']",366 votes
1029544-Carrot-carrot-orange-pierre-dumas-shoes-silver-tanya-tur-dress,142,30 favorites,"['Bohemian', ""Farmer's Market"", 'summer']",151 votes
1019937-virgos-eggshell-gown-virgos-lounge-dress,7452,80 favorites,"['Elegant', 'Formal', 'summer', 'prom']",346 votes
1144024-Long+Layers-beige-subtle-luxury-sweater-navy-minimal-aritzia-dress,876,22 favorites,"['Chic', 'Everyday', 'fall']",116 votes
946601-sky+blue+River+Island+Denim+jacket-blue-asos-boots-blue-topshop-dress-sky-blue-jeans-denim-asos-jeans,466,64 favorites,"['Chic', 'Other', 'Summer']",375 votes
989601-Fuchsia+and+Pearls-pink-jcrew-dress-hot-pink-co-lab-bag-bronze-emery-flats-jcrew-flats,164,74 favorites,"['Chic', 'Lunch Date', 'spring']",370 votes
1111789-Two+piece+White+Lace+Dress-yoins-dress,137,79 favorites,"['Chic', 'Everyday', 'summer']",375 votes
1025535-BOHO+MEETS+URBAN-red-free-people-dress-navy-leather-muubaa-jacket-red-hermes-bag,6848,83 favorites,"['Bohemian', 'Shopping', 'spring', 'bohemian']",406 votes
994470-abandoned-brown-thrifted-rockport-boots-carrot-orange-forever-21-dress,696,76 favorites,"['Bohemian', 'Going Out With Friends', 'winter']",398 votes
990740-Turquoise+Marine+Blue-zara-dress,304,65 favorites,"['Business Casual', 'Work Happy Hour', 'winter']",329 votes
1148323-Long+Black+Dress-venus-dress-charlotte-olympia-bag-christian-louboutin-heels,231,62 favorites,"['Formal', 'Holiday Party', 'winter']",357 votes
966173-Winter+Wonderland-ivory-rebecca-taylor-dress-ivory-elizabeth-and-james-coat,32,69 favorites,"['Classic', 'Work', 'Summer']",370 votes
989923-Little+yellow+dress-zara-shoes-zara-dress-mango-jacket,107,65 favorites,"['Casual', 'Everyday', 'spring']",364 votes
1154963-Oups+I+did+it+again-sacha-shoes-boots-marie-frisco-dress-marie-frisco-blazer,31856,90 favorites,"['Chic', 'Blind Date', 'winter']",369 votes
1048167-Dressed+for+the+Theatre-vintage-dress-dolce-vita-heels,158,66 favorites,"['Chic', 'Theatre/Opera/Symphony', 'summer']",366 votes
1017247-SAILOR-white-wholesale7-dress,374,73 favorites,"['90s', 'Everyday', 'summer']",361 votes
986502-Chunky+knit+nude+chiffon-caged-asos-boots-light-pink-urban-outfitters-dress-oversized-zara-cardigan,380,58 favorites,"['Casual', 'Casual Party', 'winter']",276 votes
954643-Creme+and+lilac+-light-purple-timberland-boots-light-purple-gemko-dress,219,80 favorites,"['Maternity', 'Everyday', 'fall']",355 votes
1083724-Pink+Mood-hot-pink-displicent-dress,18061,70 favorites,"['Chic', 'Casual Party', 'spring']",410 votes
1016342-Safety+Zone-ich22-dress-bucket-bag-q2han-bag-spike-heels-shoplately-heels,5854,62 favorites,"['Trendy', 'Lunch Date', 'summer']",390 votes
1093940-Reeeelax-gray-oasap-dress-black-celine-bag-heather-gray-zara-pants,1504,76 favorites,"['Bohemian', 'Everyday', 'winter']",333 votes
945784-autumn+colors-floral-c-a-dress-maroon-beanie-asos-hat,293,83 favorites,"['Romantic', 'Everyday', 'fall']",370 votes
1111610-Sideways-tomtop-dress,31856,73 favorites,"['Hippie', 'Everyday', 'spring']",339 votes
940227-Plaid+Shirt+Saves+the+day-plaid-unknown-shirt-pink-unknown-dress-wool-unknown-hat,137,76 favorites,"['Comfortable', 'Going Out With Friends', 'fall']",365 votes
1041446-XV+x+Calico-white-calico-dress-white-calico-sunglasses,5121,59 favorites,"['Chic', 'Casual Party', 'summer']",406 votes
963826-Houndstooth+A+line+dress-charcoal-gray-oasap-dress-black-h-m-hat-brick-red-thrifted-vintage-pumps,87,61 favorites,"['Chic', 'Birthday', 'winter']",383 votes
995251-Leopard+V%C3%AAtements+haute+Clubwear+collier-mavogue-dress,25,21 favorites,"['Sexy', 'Fashion Show', 'Summer']",207 votes
1070995-Jardin+Du+Royal-navy-beaumont-organic-dress,39,81 favorites,"['Elegant', 'Dinner Party', 'Summer']",361 votes
952030-Together+in+paris-dark-green-boyfriend-debenhams-coat-leather-topshop-boots-lace-h-m-dress,53,46 favorites,"['Vintage', 'Everyday', 'winter']",334 votes
1000190-SUNSET+BOULEVARD-hot-pink-little-mistress-dress-crimson-born-pretty-store-accessories,339,63 favorites,"['Elegant', 'Art Opening', 'spring']",296 votes
1072955-Disconium+LBD-black-betabrand-dress,640,61 favorites,"['Classic', 'Dinner Date', 'Summer']",329 votes
1042949-Dora+the+Explorer-topshop-boots-topshop-dress,72,40 favorites,"['90s', 'Everyday', 'summer']",307 votes
1017951-the+wild+sea+is+calling+me-beige-nautical-print-yumi-dress-off-white-vintage-20s-hat,696,69 favorites,"['Classic', 'Everyday', 'spring']",388 votes
